Model,Test Row Index,Subject ID,True Class,Predicted Class,SVM score true,SVM score predicted
k-NN,521,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,522,25,WALKING_DOWNSTAIRS,WALKING,,
k-NN,523,25,WALKING_DOWNSTAIRS,WALKING,,
k-NN,524,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,525,25,WALKING_DOWNSTAIRS,WALKING,,
k-NN,526,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,527,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,528,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,529,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,530,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,531,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,532,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,533,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,534,25,WALKING_DOWNSTAIRS,WALKING,,
k-NN,535,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,613,25,SITTING,STANDING,,
k-NN,614,25,SITTING,STANDING,,
k-NN,615,25,SITTING,STANDING,,
k-NN,622,25,SITTING,STANDING,,
k-NN,623,25,SITTING,STANDING,,
k-NN,632,25,SITTING,STANDING,,
k-NN,638,25,SITTING,STANDING,,
k-NN,648,25,LAYING,SITTING,,
k-NN,650,25,LAYING,SITTING,,
k-NN,651,25,LAYING,SITTING,,
k-NN,652,25,LAYING,STANDING,,
k-NN,653,25,LAYING,STANDING,,
k-NN,654,25,LAYING,STANDING,,
k-NN,656,25,LAYING,SITTING,,
k-NN,660,25,LAYING,SITTING,,
k-NN,664,25,LAYING,SITTING,,
k-NN,665,25,LAYING,SITTING,,
k-NN,666,25,LAYING,SITTING,,
k-NN,668,25,LAYING,SITTING,,
k-NN,669,25,LAYING,STANDING,,
k-NN,670,25,LAYING,SITTING,,
k-NN,717,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,718,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,721,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,722,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,723,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,724,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,725,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,726,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,727,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,728,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,730,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,731,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,733,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,734,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,735,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,736,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,739,25,WALKING_DOWNSTAIRS,WALKING,,
k-NN,740,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,741,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,742,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,743,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,744,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,833,28,SITTING,STANDING,,
k-NN,834,28,SITTING,STANDING,,
k-NN,838,28,SITTING,STANDING,,
k-NN,843,28,SITTING,STANDING,,
k-NN,844,28,SITTING,STANDING,,
k-NN,845,28,SITTING,STANDING,,
k-NN,849,28,SITTING,STANDING,,
k-NN,850,28,SITTING,STANDING,,
k-NN,851,28,SITTING,STANDING,,
k-NN,852,28,SITTING,STANDING,,
k-NN,855,28,SITTING,STANDING,,
k-NN,856,28,SITTING,STANDING,,
k-NN,859,28,SITTING,STANDING,,
k-NN,860,28,SITTING,STANDING,,
k-NN,861,28,LAYING,STANDING,,
k-NN,862,28,LAYING,STANDING,,
k-NN,863,28,LAYING,STANDING,,
k-NN,864,28,LAYING,STANDING,,
k-NN,865,28,LAYING,STANDING,,
k-NN,866,28,LAYING,STANDING,,
k-NN,867,28,LAYING,STANDING,,
k-NN,868,28,LAYING,SITTING,,
k-NN,869,28,LAYING,STANDING,,
k-NN,870,28,LAYING,STANDING,,
k-NN,871,28,LAYING,STANDING,,
k-NN,872,28,LAYING,STANDING,,
k-NN,873,28,LAYING,STANDING,,
k-NN,874,28,LAYING,STANDING,,
k-NN,875,28,LAYING,STANDING,,
k-NN,876,28,LAYING,STANDING,,
k-NN,877,28,LAYING,STANDING,,
k-NN,878,28,LAYING,STANDING,,
k-NN,903,28,WALKING,WALKING_UPSTAIRS,,
k-NN,917,28,WALKING,WALKING_UPSTAIRS,,
k-NN,923,28,WALKING,WALKING_UPSTAIRS,,
k-NN,924,28,WALKING,WALKING_UPSTAIRS,,
k-NN,948,28,WALKING_DOWNSTAIRS,WALKING,,
k-NN,954,28,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,1002,28,STANDING,SITTING,,
k-NN,1019,28,SITTING,STANDING,,
k-NN,1024,28,SITTING,STANDING,,
k-NN,1025,28,SITTING,STANDING,,
k-NN,1026,28,SITTING,STANDING,,
k-NN,1027,28,SITTING,STANDING,,
k-NN,1028,28,SITTING,STANDING,,
k-NN,1029,28,SITTING,STANDING,,
k-NN,1034,28,SITTING,STANDING,,
k-NN,1035,28,SITTING,STANDING,,
k-NN,1036,28,SITTING,STANDING,,
k-NN,1037,28,SITTING,STANDING,,
k-NN,1038,28,SITTING,STANDING,,
k-NN,1039,28,SITTING,STANDING,,
k-NN,1042,28,SITTING,STANDING,,
k-NN,1043,28,SITTING,STANDING,,
k-NN,1044,28,SITTING,STANDING,,
k-NN,1046,28,SITTING,STANDING,,
k-NN,1047,28,SITTING,STANDING,,
k-NN,1048,28,LAYING,STANDING,,
k-NN,1049,28,LAYING,STANDING,,
k-NN,1050,28,LAYING,STANDING,,
k-NN,1051,28,LAYING,STANDING,,
k-NN,1052,28,LAYING,STANDING,,
k-NN,1053,28,LAYING,STANDING,,
k-NN,1054,28,LAYING,STANDING,,
k-NN,1055,28,LAYING,STANDING,,
k-NN,1056,28,LAYING,STANDING,,
k-NN,1057,28,LAYING,STANDING,,
k-NN,1058,28,LAYING,STANDING,,
k-NN,1059,28,LAYING,STANDING,,
k-NN,1060,28,LAYING,STANDING,,
k-NN,1061,28,LAYING,STANDING,,
k-NN,1062,28,LAYING,STANDING,,
k-NN,1063,28,LAYING,STANDING,,
k-NN,1064,28,LAYING,STANDING,,
k-NN,1065,28,LAYING,STANDING,,
k-NN,1066,28,LAYING,STANDING,,
k-NN,1092,28,WALKING,WALKING_UPSTAIRS,,
k-NN,1099,28,WALKING,WALKING_UPSTAIRS,,
k-NN,1156,28,WALKING_UPSTAIRS,WALKING,,
k-NN,1164,29,STANDING,SITTING,,
k-NN,1167,29,STANDING,SITTING,,
k-NN,1168,29,STANDING,SITTING,,
k-NN,1169,29,STANDING,SITTING,,
k-NN,1174,29,STANDING,SITTING,,
k-NN,1176,29,STANDING,SITTING,,
k-NN,1177,29,STANDING,SITTING,,
k-NN,1178,29,STANDING,SITTING,,
k-NN,1185,29,STANDING,SITTING,,
k-NN,1269,29,WALKING,WALKING_UPSTAIRS,,
k-NN,1289,29,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,1341,29,STANDING,SITTING,,
k-NN,1359,29,STANDING,SITTING,,
k-NN,1371,29,SITTING,STANDING,,
k-NN,1503,9,STANDING,SITTING,,
k-NN,1504,9,STANDING,SITTING,,
k-NN,1509,9,STANDING,SITTING,,
k-NN,1510,9,STANDING,SITTING,,
k-NN,1517,9,STANDING,SITTING,,
k-NN,1527,9,SITTING,STANDING,,
k-NN,1530,9,SITTING,STANDING,,
k-NN,1533,9,SITTING,STANDING,,
k-NN,1538,9,SITTING,STANDING,,
k-NN,1580,9,WALKING,WALKING_UPSTAIRS,,
k-NN,1598,9,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,1600,9,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,1602,9,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,1614,9,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,,
k-NN,1645,9,STANDING,SITTING,,
k-NN,1647,9,STANDING,SITTING,,
k-NN,1649,9,STANDING,SITTING,,
k-NN,1650,9,STANDING,SITTING,,
k-NN,1652,9,STANDING,SITTING,,
k-NN,1653,9,STANDING,SITTING,,
k-NN,1654,9,STANDING,SITTING,,
k-NN,1655,9,STANDING,SITTING,,
k-NN,1658,9,STANDING,SITTING,,
k-NN,1659,9,STANDING,SITTING,,
k-NN,1665,9,STANDING,SITTING,,
k-NN,1666,9,STANDING,SITTING,,
k-NN,1671,9,SITTING,STANDING,,
k-NN,1673,9,SITTING,WALKING_UPSTAIRS,,
k-NN,1674,9,SITTING,STANDING,,
k-NN,1675,9,SITTING,STANDING,,
k-NN,1676,9,SITTING,STANDING,,
k-NN,1677,9,SITTING,STANDING,,
k-NN,1688,9,SITTING,STANDING,,
k-NN,1689,9,SITTING,STANDING,,
k-NN,1690,9,SITTING,STANDING,,
k-NN,1708,9,LAYING,SITTING,,
k-NN,1709,9,LAYING,SITTING,,
k-NN,1762,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1772,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1774,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1777,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1778,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1779,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1780,9,WALKING_UPSTAIRS,WALKING,,
k-NN,1803,10,STANDING,SITTING,,
k-NN,1810,10,STANDING,SITTING,,
k-NN,1851,10,LAYING,SITTING,,
k-NN,1853,10,LAYING,STANDING,,
k-NN,1854,10,LAYING,SITTING,,
k-NN,1855,10,LAYING,STANDING,,
k-NN,1856,10,LAYING,STANDING,,
k-NN,1857,10,LAYING,STANDING,,
k-NN,1858,10,LAYING,STANDING,,
k-NN,1859,10,LAYING,STANDING,,
k-NN,1860,10,LAYING,SITTING,,
k-NN,1861,10,LAYING,SITTING,,
k-NN,1862,10,LAYING,SITTING,,
k-NN,1863,10,LAYING,STANDING,,
k-NN,1864,10,LAYING,STANDING,,
k-NN,1865,10,LAYING,SITTING,,
k-NN,1866,10,LAYING,STANDING,,
k-NN,1907,10,WALKING_DOWNSTAIRS,WALKING,,
k-NN,1910,10,WALKING_DOWNSTAIRS,WALKING,,
k-NN,1917,10,WALKING_UPSTAIRS,WALKING,,
k-NN,1918,10,WALKING_UPSTAIRS,WALKING,,
k-NN,1938,10,STANDING,SITTING,,
k-NN,1939,10,STANDING,SITTING,,
k-NN,1948,10,STANDING,SITTING,,
k-NN,1949,10,STANDING,SITTING,,
k-NN,1950,10,STANDING,SITTING,,
k-NN,1959,10,SITTING,STANDING,,
k-NN,1961,10,SITTING,STANDING,,
k-NN,1963,10,SITTING,STANDING,,
k-NN,1964,10,SITTING,STANDING,,
k-NN,1965,10,SITTING,STANDING,,
k-NN,1966,10,SITTING,STANDING,,
k-NN,1967,10,SITTING,STANDING,,
k-NN,1968,10,SITTING,STANDING,,
k-NN,1969,10,SITTING,STANDING,,
k-NN,1970,10,SITTING,STANDING,,
k-NN,1971,10,SITTING,STANDING,,
k-NN,1972,10,SITTING,STANDING,,
k-NN,1973,10,SITTING,STANDING,,
k-NN,1974,10,SITTING,STANDING,,
k-NN,1976,10,SITTING,STANDING,,
k-NN,1979,10,SITTING,STANDING,,
k-NN,1980,10,SITTING,STANDING,,
k-NN,1984,10,SITTING,STANDING,,
k-NN,1985,10,SITTING,STANDING,,
k-NN,1987,10,LAYING,STANDING,,
k-NN,1988,10,LAYING,STANDING,,
k-NN,1989,10,LAYING,STANDING,,
k-NN,1991,10,LAYING,SITTING,,
k-NN,1993,10,LAYING,SITTING,,
k-NN,1995,10,LAYING,SITTING,,
k-NN,1996,10,LAYING,SITTING,,
k-NN,1997,10,LAYING,STANDING,,
k-NN,1998,10,LAYING,STANDING,,
k-NN,1999,10,LAYING,SITTING,,
k-NN,2000,10,LAYING,STANDING,,
k-NN,2001,10,LAYING,STANDING,,
k-NN,2003,10,LAYING,STANDING,,
k-NN,2004,10,LAYING,STANDING,,
k-NN,2005,10,LAYING,STANDING,,
k-NN,2006,10,LAYING,STANDING,,
k-NN,2007,10,LAYING,STANDING,,
k-NN,2008,10,LAYING,SITTING,,
k-NN,2009,10,LAYING,SITTING,,
k-NN,2010,10,LAYING,STANDING,,
k-NN,2011,10,LAYING,STANDING,,
k-NN,2012,10,LAYING,STANDING,,
k-NN,2013,10,LAYING,STANDING,,
k-NN,2061,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2062,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2063,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2064,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2069,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2070,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2071,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2074,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2077,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2079,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2080,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2082,10,WALKING_UPSTAIRS,WALKING,,
k-NN,2095,13,STANDING,SITTING,,
k-NN,2113,13,SITTING,STANDING,,
k-NN,2114,13,SITTING,STANDING,,
k-NN,2115,13,SITTING,STANDING,,
k-NN,2116,13,SITTING,STANDING,,
k-NN,2126,13,SITTING,STANDING,,
k-NN,2127,13,SITTING,STANDING,,
k-NN,2128,13,SITTING,STANDING,,
k-NN,2133,13,SITTING,STANDING,,
k-NN,2198,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2199,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2200,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2201,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2202,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2203,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2204,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2205,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2208,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2209,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2210,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2211,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2214,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2217,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2220,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2221,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2222,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2223,13,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2294,13,SITTING,STANDING,,
k-NN,2300,13,SITTING,STANDING,,
k-NN,2364,13,WALKING,WALKING_DOWNSTAIRS,,
k-NN,2365,13,WALKING,WALKING_DOWNSTAIRS,,
k-NN,2424,18,STANDING,SITTING,,
k-NN,2471,18,SITTING,STANDING,,
k-NN,2473,18,SITTING,STANDING,,
k-NN,2474,18,SITTING,STANDING,,
k-NN,2475,18,SITTING,STANDING,,
k-NN,2478,18,SITTING,STANDING,,
k-NN,2479,18,SITTING,STANDING,,
k-NN,2541,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2542,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2543,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2544,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2545,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2546,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2547,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2548,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2549,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2550,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2561,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2562,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2563,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2564,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2565,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2568,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2569,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2579,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2580,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2581,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2582,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2583,18,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2584,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2585,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2586,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2587,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2630,18,STANDING,SITTING,,
k-NN,2637,18,SITTING,STANDING,,
k-NN,2639,18,SITTING,STANDING,,
k-NN,2647,18,SITTING,STANDING,,
k-NN,2652,18,SITTING,STANDING,,
k-NN,2656,18,SITTING,STANDING,,
k-NN,2694,18,WALKING,WALKING_UPSTAIRS,,
k-NN,2698,18,WALKING,WALKING_UPSTAIRS,,
k-NN,2706,18,WALKING,WALKING_UPSTAIRS,,
k-NN,2718,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2720,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2721,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2722,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2723,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2724,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2725,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2726,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2727,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2728,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2729,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2730,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2731,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2732,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2733,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2734,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2735,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2765,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2766,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2769,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2770,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2771,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2772,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2773,18,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,2789,24,STANDING,SITTING,,
k-NN,2792,24,STANDING,SITTING,,
k-NN,2808,24,SITTING,STANDING,,
k-NN,2824,24,SITTING,STANDING,,
k-NN,2825,24,SITTING,STANDING,,
k-NN,2891,24,WALKING,WALKING_UPSTAIRS,,
k-NN,2892,24,WALKING,WALKING_UPSTAIRS,,
k-NN,2893,24,WALKING,WALKING_UPSTAIRS,,
k-NN,2914,24,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2924,24,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2925,24,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2929,24,WALKING_DOWNSTAIRS,WALKING,,
k-NN,2937,24,WALKING_UPSTAIRS,WALKING,,
k-NN,2950,24,WALKING_UPSTAIRS,WALKING,,
k-NN,2964,24,STANDING,SITTING,,
k-NN,2987,24,STANDING,SITTING,,
k-NN,3020,24,SITTING,STANDING,,
k-NN,3022,24,SITTING,STANDING,,
k-NN,3106,24,WALKING_DOWNSTAIRS,WALKING,,
k-NN,3108,24,WALKING_DOWNSTAIRS,WALKING,,
k-NN,3154,24,WALKING_UPSTAIRS,WALKING,,
SVM,0,16,STANDING,SITTING,-0.30204252286498645,0.05587392947455494
SVM,6,16,STANDING,SITTING,-0.6245535884764744,0.6179957802052558
SVM,36,16,SITTING,STANDING,-1.001726807727587,0.5864055118577147
SVM,179,16,STANDING,SITTING,-0.842387893582827,1.0285458997338868
SVM,180,16,STANDING,SITTING,-0.500354134536942,0.5304835009401281
SVM,181,16,STANDING,SITTING,-1.1094518489473546,0.7754937666486847
SVM,182,16,STANDING,SITTING,-0.5355247700366288,0.5654545788000482
SVM,183,16,STANDING,SITTING,-0.054976199548030236,0.09662671473734052
SVM,184,16,STANDING,SITTING,-1.1619868702123894,1.212869708809273
SVM,185,16,STANDING,SITTING,-0.7686759121912811,0.6883678680410936
SVM,186,16,STANDING,SITTING,-0.32371652685785335,0.2555224525758806
SVM,187,16,STANDING,SITTING,-0.59527125438937,0.49759116235834355
SVM,188,16,STANDING,SITTING,-0.6033729573605531,0.4026102616539593
